Power_values(W),Z_0.010W,OA_0.010W,CA_0.010W,Z_0.015W,OA_0.015W,CA_0.015W,Z_0.025W,OA_0.025W,CA_0.025W,Z_0.050W,OA_0.050W,CA_0.050W,Z_0.075W,OA_0.075W,CA_0.075W,Z_0.100W,OA_0.100W,CA_0.100W,Z_0.125W,OA_0.125W,CA_0.125W,Z_0.150W,OA_0.150W,CA_0.150W,Z_0.175W,OA_0.175W,CA_0.175W,Z_0.200W,OA_0.200W,CA_0.200W,Z_0.225W,OA_0.225W,CA_0.225W,Z_0.250W,OA_0.250W,CA_0.250W
,7.2,0.004898,0.0022482,7.2,0.007333,0.003279,7.2,0.01225,0.0055726,7.2,0.024686,0.011157,7.2,0.037799,0.0157,7.2,0.04934,0.022761,7.2,0.062843,0.011499,7.2,0.075551,0.034668,7.2,0.087516,0.039889,7.2,0.098238,0.04221,7.2,0.11043,0.04653,7.2,0.12211,0.050176
,7.3,0.0048981,0.0022461,7.3,0.0073324,0.0032742,7.3,0.012249,0.0055752,7.3,0.024682,0.011152,7.3,0.037797,0.015704,7.3,0.049334,0.022752,7.3,0.062827,0.011495,7.3,0.075525,0.034654,7.3,0.08748,0.03989,7.3,0.098199,0.042134,7.3,0.11039,0.046517,7.3,0.12205,0.050085
,7.4,0.004898,0.0022433,7.4,0.0073317,0.0032752,7.4,0.012248,0.0055701,7.4,0.024677,0.011156,7.4,0.037796,0.015684,7.4,0.049326,0.022749,7.4,0.062814,0.011499,7.4,0.075504,0.034627,7.4,0.087445,0.039821,7.4,0.098165,0.042077,7.4,0.11033,0.046444,7.4,0.12198,0.049987
,7.5,0.0048976,0.0022449,7.5,0.007331,0.0032756,7.5,0.012246,0.0055682,7.5,0.024672,0.011156,7.5,0.037793,0.015697,7.5,0.049316,0.022755,7.5,0.062791,0.011492,7.5,0.07547,0.034661,7.5,0.087401,0.039855,7.5,0.09812,0.042027,7.5,0.11027,0.046364,7.5,0.12191,0.049895
,7.6,0.0048973,0.0022444,7.6,0.0073307,0.0032788,7.6,0.012244,0.0055648,7.6,0.024668,0.011143,7.6,0.037788,0.015702,7.6,0.049306,0.022758,7.6,0.062769,0.011465,7.6,0.075434,0.034583,7.6,0.087351,0.039856,7.6,0.098068,0.042063,7.6,0.11021,0.046327,7.6,0.12185,0.049909
,7.7,0.0048969,0.0022455,7.7,0.00733,0.003268,7.7,0.012243,0.0055664,7.7,0.024662,0.011144,7.7,0.037781,0.015696,7.7,0.049295,0.022728,7.7,0.06274,0.011466,7.7,0.075398,0.034571,7.7,0.087304,0.039778,7.7,0.098009,0.042032,7.7,0.11014,0.046331,7.7,0.12175,0.049867
,7.8,0.004897,0.0022421,7.8,0.0073292,0.0032653,7.8,0.01224,0.0055624,7.8,0.024657,0.01114,7.8,0.037776,0.01568,7.8,0.04928,0.022691,7.8,0.062716,0.011462,7.8,0.07536,0.034509,7.8,0.08725,0.039746,7.8,0.097942,0.04193,7.8,0.11005,0.046293,7.8,0.12163,0.049837
,7.9,0.0048964,0.0022376,7.9,0.0073284,0.0032695,7.9,0.012239,0.0055561,7.9,0.024652,0.01114,7.9,0.037767,0.015656,7.9,0.049265,0.022703,7.9,0.062687,0.011421,7.9,0.075318,0.034512,7.9,0.087188,0.039708,7.9,0.097872,0.041902,7.9,0.10996,0.046145,7.9,0.12152,0.049721
,8,0.0048961,0.0022348,8,0.007328,0.0032613,8,0.012237,0.005557,8,0.024646,0.011136,8,0.037758,0.01565,8,0.049248,0.022701,8,0.062651,0.011425,8,0.075265,0.03447,8,0.08712,0.039581,8,0.097791,0.04177,8,0.10986,0.046063,8,0.12139,0.049579
,8.1,0.0048958,0.0022378,8.1,0.007327,0.0032619,8.1,0.012235,0.0055535,8.1,0.02464,0.011137,8.1,0.037747,0.015629,8.1,0.049228,0.022671,8.1,0.062605,0.011397,8.1,0.075206,0.034476,8.1,0.087039,0.039536,8.1,0.097701,0.041869,8.1,0.10974,0.046028,8.1,0.12124,0.049471
,8.2,0.0048958,0.0022357,8.2,0.0073264,0.0032638,8.2,0.012233,0.0055474,8.2,0.024633,0.011139,8.2,0.037736,0.01562,8.2,0.049204,0.022626,8.2,0.062556,0.011382,8.2,0.075148,0.0344,8.2,0.086944,0.039455,8.2,0.097594,0.041754,8.2,0.10961,0.045966,8.2,0.12106,0.049335
,8.3,0.0048954,0.0022365,8.3,0.0073254,0.0032575,8.3,0.012232,0.0055446,8.3,0.024625,0.011132,8.3,0.03772,0.015611,8.3,0.049176,0.022603,8.3,0.06251,0.011339,8.3,0.07508,0.034385,8.3,0.086847,0.039362,8.3,0.097469,0.041676,8.3,0.10944,0.045814,8.3,0.12086,0.049249
,8.4,0.0048949,0.0022327,8.4,0.0073242,0.0032618,8.4,0.01223,0.0055427,8.4,0.024616,0.011117,8.4,0.037703,0.01557,8.4,0.049144,0.02254,8.4,0.062459,0.01131,8.4,0.074995,0.034286,8.4,0.086728,0.03932,8.4,0.097329,0.041476,8.4,0.10927,0.045728,8.4,0.12063,0.049139
,8.5,0.0048945,0.0022308,8.5,0.0073234,0.0032628,8.5,0.012227,0.005529,8.5,0.024605,0.011108,8.5,0.037683,0.015585,8.5,0.049108,0.022517,8.5,0.062397,0.011291,8.5,0.074907,0.034213,8.5,0.086601,0.039233,8.5,0.097182,0.041388,8.5,0.10906,0.045615,8.5,0.12037,0.049004
,8.6,0.0048939,0.002232,8.6,0.0073225,0.0032549,8.6,0.012226,0.0055308,8.6,0.024594,0.0111,8.6,0.03766,0.015548,8.6,0.049068,0.022467,8.6,0.062319,0.011259,8.6,0.074793,0.034106,8.6,0.086444,0.039106,8.6,0.096989,0.041274,8.6,0.10881,0.045414,8.6,0.12008,0.048805
,8.7,0.0048935,0.0022328,8.7,0.0073211,0.0032563,8.7,0.012224,0.0055248,8.7,0.024582,0.011097,8.7,0.037631,0.015525,8.7,0.04902,0.022448,8.7,0.062231,0.011206,8.7,0.074657,0.034,8.7,0.086263,0.038999,8.7,0.096758,0.041097,8.7,0.10854,0.045246,8.7,0.11969,0.048515
,8.8,0.004893,0.0022316,8.8,0.0073203,0.0032577,8.8,0.01222,0.005526,8.8,0.024568,0.011054,8.8,0.037607,0.015498,8.8,0.04896,0.022397,8.8,0.062137,0.011182,8.8,0.074512,0.0339,8.8,0.086072,0.038816,8.8,0.096489,0.040913,8.8,0.10823,0.045032,8.8,0.11929,0.048305
,8.9,0.0048926,0.0022276,8.9,0.007319,0.0032506,8.9,0.012217,0.0055202,8.9,0.024552,0.011046,8.9,0.037571,0.015461,8.9,0.048894,0.022333,8.9,0.062027,0.011151,8.9,0.074331,0.033711,8.9,0.085847,0.038619,8.9,0.096201,0.040705,8.9,0.10785,0.044782,8.9,0.11882,0.047981
,9,0.0048918,0.0022265,9,0.007317,0.0032481,9,0.012212,0.0055068,9,0.024533,0.011043,9,0.037531,0.015446,9,0.048826,0.022278,9,0.061894,0.011098,9,0.074137,0.033638,9,0.085573,0.038386,9,0.095874,0.040488,9,0.10747,0.044503,9,0.11835,0.04762
,9.1,0.004891,0.0022249,9.1,0.0073154,0.0032494,9.1,0.012207,0.0055111,9.1,0.024511,0.011033,9.1,0.037475,0.015415,9.1,0.048732,0.022233,9.1,0.061743,0.011063,9.1,0.073933,0.033455,9.1,0.085283,0.038248,9.1,0.095469,0.040244,9.1,0.10693,0.044237,9.1,0.11769,0.047262
,9.2,0.0048902,0.0022256,9.2,0.0073129,0.0032457,9.2,0.012203,0.0055073,9.2,0.024486,0.01101,9.2,0.037413,0.015362,9.2,0.048621,0.022161,9.2,0.061595,0.011015,9.2,0.073689,0.033329,9.2,0.084933,0.038066,9.2,0.095005,0.039956,9.2,0.1063,0.043888,9.2,0.11699,0.04693
,9.3,0.0048895,0.0022303,9.3,0.0073105,0.0032462,9.3,0.012196,0.0054977,9.3,0.024458,0.011004,9.3,0.037344,0.01534,9.3,0.048491,0.022079,9.3,0.061496,0.010976,9.3,0.073434,0.033173,9.3,0.084564,0.037817,9.3,0.094568,0.039705,9.3,0.10561,0.043611,9.3,0.11608,0.046452
,9.4,0.0048889,0.0022266,9.4,0.0073081,0.0032494,9.4,0.012189,0.0054918,9.4,0.024427,0.010992,9.4,0.03726,0.015297,9.4,0.048348,0.021988,9.4,0.0613,0.010936,9.4,0.073147,0.03304,9.4,0.084166,0.037642,9.4,0.094066,0.039379,9.4,0.10483,0.043235,9.4,0.1151,0.046093
,9.5,0.004888,0.0022271,9.5,0.0073053,0.003245,9.5,0.012182,0.0054927,9.5,0.024394,0.010963,9.5,0.037174,0.015276,9.5,0.048201,0.021939,9.5,0.061068,0.010923,9.5,0.072856,0.032969,9.5,0.083776,0.037527,9.5,0.093273,0.039159,9.5,0.10402,0.04292,9.5,0.11404,0.045777
,9.6,0.0048868,0.0022263,9.6,0.0073022,0.0032431,9.6,0.012174,0.0054872,9.6,0.02436,0.010952,9.6,0.037084,0.015267,9.6,0.048035,0.021947,9.6,0.060815,0.010889,9.6,0.072588,0.032857,9.6,0.083383,0.037436,9.6,0.092564,0.038971,9.6,0.10319,0.042601,9.6,0.11299,0.045524
,9.7,0.0048855,0.0022276,9.7,0.0072992,0.0032429,9.7,0.012167,0.0054926,9.7,0.024326,0.010936,9.7,0.036995,0.01527,9.7,0.047874,0.021932,9.7,0.060653,0.010912,9.7,0.072326,0.032941,9.7,0.083018,0.037461,9.7,0.091905,0.038867,9.7,0.10236,0.042498,9.7,0.11209,0.045252
,9.8,0.0048845,0.0022241,9.8,0.0072966,0.0032416,9.8,0.01216,0.0054903,9.8,0.024296,0.010942,9.8,0.03692,0.015299,9.8,0.047744,0.021944,9.8,0.060527,0.01094,9.8,0.072119,0.033006,9.8,0.082766,0.037573,9.8,0.091356,0.038932,9.8,0.10169,0.042547,9.8,0.11134,0.045252
,9.9,0.0048838,0.0022263,9.9,0.0072941,0.0032373,9.9,0.012156,0.0054986,9.9,0.024278,0.010957,9.9,0.036879,0.015339,9.9,0.047666,0.022062,9.9,0.060447,0.010974,9.9,0.072008,0.033165,9.9,0.082628,0.037776,9.9,0.091057,0.03905,9.9,0.10131,0.042871,9.9,0.11088,0.045438
,10,0.0048831,0.0022269,10,0.0072929,0.0032439,10,0.012153,0.0055077,10,0.024272,0.010981,10,0.036863,0.015404,10,0.047663,0.022221,10,0.060426,0.01107,10,0.071979,0.033285,10,0.082603,0.038001,10,0.091052,0.039389,10,0.10132,0.043132,10,0.11088,0.045892
,10.1,0.0048829,0.002227,10.1,0.0072923,0.0032497,10.1,0.012152,0.0055169,10.1,0.024277,0.011006,10.1,0.036897,0.015501,10.1,0.047731,0.022314,10.1,0.06047,0.011173,10.1,0.072044,0.033502,10.1,0.082692,0.038259,10.1,0.091325,0.039896,10.1,0.10168,0.043577,10.1,0.11123,0.046489
,10.2,0.0048829,0.002228,10.2,0.0072926,0.0032553,10.2,0.012154,0.0055248,10.2,0.024296,0.011049,10.2,0.036972,0.015558,10.2,0.047849,0.022463,10.2,0.060563,0.011238,10.2,0.072187,0.033736,10.2,0.082898,0.038579,10.2,0.091861,0.040244,10.2,0.10231,0.044153,10.2,0.11195,0.047175
,10.3,0.0048829,0.0022297,10.3,0.0072945,0.0032589,10.3,0.012159,0.0055282,10.3,0.024322,0.011076,10.3,0.037056,0.01563,10.3,0.047996,0.022593,10.3,0.060697,0.011306,10.3,0.072403,0.033974,10.3,0.083204,0.038925,10.3,0.09249,0.040681,10.3,0.10314,0.044719,10.3,0.11294,0.047684
,10.4,0.0048831,0.0022295,10.4,0.0072962,0.0032611,10.4,0.012163,0.0055369,10.4,0.024349,0.011121,10.4,0.03715,0.015681,10.4,0.048154,0.022698,10.4,0.060871,0.011363,10.4,0.072656,0.034203,10.4,0.083539,0.039217,10.4,0.093124,0.04112,10.4,0.10392,0.045012,10.4,0.11399,0.048198
,10.5,0.0048837,0.0022302,10.5,0.0072979,0.0032612,10.5,0.012169,0.0055461,10.5,0.02438,0.01113,10.5,0.037236,0.015725,10.5,0.048302,0.022757,10.5,0.061058,0.01141,10.5,0.072939,0.034377,10.5,0.083932,0.039469,10.5,0.093723,0.041469,10.5,0.10466,0.045463,10.5,0.11492,0.048553
,10.6,0.0048838,0.0022312,10.6,0.0072996,0.0032626,10.6,0.012173,0.0055576,10.6,0.024406,0.011137,10.6,0.037307,0.015771,10.6,0.048441,0.02281,10.6,0.061236,0.011392,10.6,0.07323,0.034517,10.6,0.084341,0.039641,10.6,0.094324,0.041652,10.6,0.10533,0.045729,10.6,0.11586,0.048977
,10.7,0.0048841,0.0022317,10.7,0.0073009,0.0032727,10.7,0.012179,0.0055573,10.7,0.02443,0.011159,10.7,0.03739,0.015784,10.7,0.048566,0.022878,10.7,0.061421,0.011459,10.7,0.073496,0.03462,10.7,0.084719,0.039791,10.7,0.094819,0.041757,10.7,0.10603,0.045969,10.7,0.11667,0.049256
,10.8,0.0048843,0.0022343,10.8,0.0073019,0.0032689,10.8,0.012183,0.005575,10.8,0.024452,0.011157,10.8,0.03745,0.015788,10.8,0.048674,0.022901,10.8,0.061571,0.011473,10.8,0.073747,0.034681,10.8,0.085071,0.039829,10.8,0.095298,0.041966,10.8,0.10661,0.046032,10.8,0.11742,0.049545
,10.9,0.0048841,0.0022369,10.9,0.0073027,0.0032681,10.9,0.012188,0.0055705,10.9,0.024473,0.011186,10.9,0.037504,0.015805,10.9,0.048768,0.022917,10.9,0.061727,0.011479,10.9,0.073983,0.034686,10.9,0.085359,0.039898,10.9,0.095715,0.042053,10.9,0.10711,0.046216,10.9,0.11801,0.049587
,11,0.004884,0.0022384,11,0.0073035,0.0032703,11,0.012191,0.0055645,11,0.024488,0.011175,11,0.037547,0.015804,11,0.048855,0.022929,11,0.061873,0.011434,11,0.074172,0.034696,11,0.08562,0.039968,11,0.096038,0.04214,11,0.10758,0.04636,11,0.11861,0.049685
,11.1,0.0048839,0.0022369,11.1,0.0073043,0.0032733,11.1,0.012193,0.0055601,11.1,0.024502,0.011152,11.1,0.03759,0.015814,11.1,0.048928,0.022945,11.1,0.062007,0.011437,11.1,0.074336,0.034725,11.1,0.085869,0.039943,11.1,0.096351,0.042165,11.1,0.108,0.046432,11.1,0.11906,0.049819
,11.2,0.0048838,0.0022383,11.2,0.0073051,0.0032752,11.2,0.012196,0.0055631,11.2,0.024513,0.011165,11.2,0.037631,0.015801,11.2,0.048992,0.022943,11.2,0.062099,0.011442,11.2,0.074468,0.034757,11.2,0.086062,0.039961,11.2,0.096631,0.042236,11.2,0.10833,0.046507,11.2,0.11946,0.049867
,11.3,0.0048838,0.0022375,11.3,0.0073061,0.0032696,11.3,0.012197,0.0055562,11.3,0.024523,0.01116,11.3,0.037663,0.01581,11.3,0.049041,0.022946,11.3,0.062171,0.01145,11.3,0.074597,0.034715,11.3,0.086225,0.039998,11.3,0.09687,0.042341,11.3,0.1086,0.046574,11.3,0.11982,0.04997
,11.4,0.0048838,0.0022387,11.4,0.0073064,0.0032714,11.4,0.012199,0.0055539,11.4,0.024531,0.011161,11.4,0.037689,0.015796,11.4,0.049089,0.022939,11.4,0.062253,0.011465,11.4,0.07472,0.034793,11.4,0.08637,0.039987,11.4,0.097076,0.042383,11.4,0.10888,0.046637,11.4,0.12014,0.049902
,11.5,0.004884,0.002236,11.5,0.0073071,0.0032711,11.5,0.0122,0.0055565,11.5,0.024538,0.011148,11.5,0.037712,0.015788,11.5,0.049136,0.02295,11.5,0.062316,0.011447,11.5,0.074814,0.034803,11.5,0.0865,0.040047,11.5,0.097251,0.042363,11.5,0.10913,0.046701,11.5,0.12041,0.050044
,11.6,0.0048842,0.0022371,11.6,0.0073077,0.0032672,11.6,0.0122,0.00556,11.6,0.024543,0.011144,11.6,0.037734,0.01577,11.6,0.049173,0.022954,11.6,0.062371,0.011447,11.6,0.074898,0.034826,11.6,0.086613,0.04002,11.6,0.097391,0.042378,11.6,0.10933,0.046618,11.6,0.12066,0.050065
,11.7,0.0048846,0.0022383,11.7,0.0073079,0.0032697,11.7,0.012199,0.0055575,11.7,0.024549,0.011134,11.7,0.037753,0.015779,11.7,0.049203,0.022932,11.7,0.062421,0.011467,11.7,0.074966,0.034787,11.7,0.086706,0.039992,11.7,0.097526,0.042397,11.7,0.1095,0.046659,11.7,0.1209,0.050117
,11.8,0.0048849,0.0022367,11.8,0.0073079,0.0032649,11.8,0.0122,0.0055554,11.8,0.024552,0.011146,11.8,0.037768,0.015791,11.8,0.04923,0.022912,11.8,0.062458,0.011477,11.8,0.075024,0.034796,11.8,0.086781,0.039982,11.8,0.097657,0.042374,11.8,0.10965,0.046734,11.8,0.12109,0.050155
,11.9,0.0048848,0.0022386,11.9,0.0073076,0.003261,11.9,0.012201,0.0055531,11.9,0.024556,0.011154,11.9,0.037781,0.015796,11.9,0.049256,0.02293,11.9,0.062484,0.011453,11.9,0.075076,0.034813,11.9,0.086861,0.039977,11.9,0.097767,0.042301,11.9,0.10978,0.046724,11.9,0.12126,0.05021
,12,0.0048845,0.0022423,12,0.0073073,0.0032657,12,0.012202,0.0055624,12,0.024558,0.011157,12,0.037792,0.015787,12,0.04928,0.022926,12,0.062506,0.011468,12,0.075118,0.034808,12,0.086921,0.03998,12,0.097859,0.042378,12,0.1099,0.046675,12,0.1214,0.050329
,12.1,0.0048846,0.002246,12.1,0.0073069,0.0032625,12.1,0.012202,0.005562,12.1,0.02456,0.011163,12.1,0.037801,0.015772,12.1,0.0493,0.022915,12.1,0.06253,0.011466,12.1,0.075165,0.034844,12.1,0.086975,0.039988,12.1,0.097939,0.042355,12.1,0.11001,0.046737,12.1,0.12154,0.050275
,12.2,0.0048845,0.0022435,12.2,0.0073065,0.0032709,12.2,0.012202,0.0055622,12.2,0.024562,0.011166,12.2,0.037812,0.015767,12.2,0.049318,0.022905,12.2,0.062552,0.011473,12.2,0.075195,0.034801,12.2,0.087022,0.039986,12.2,0.098015,0.042344,12.2,0.11011,0.04674,12.2,0.12165,0.050258
,12.3,0.0048844,0.0022417,12.3,0.0073065,0.0032711,12.3,0.012202,0.0055668,12.3,0.024563,0.011183,12.3,0.037821,0.015766,12.3,0.049331,0.02289,12.3,0.062577,0.011472,12.3,0.075222,0.034814,12.3,0.087064,0.040071,12.3,0.098078,0.042387,12.3,0.11019,0.046793,12.3,0.12174,0.050222
,12.4,0.0048843,0.002242,12.4,0.0073061,0.0032704,12.4,0.012201,0.005576,12.4,0.024564,0.01118,12.4,0.037829,0.015749,12.4,0.049345,0.022956,12.4,0.062592,0.011495,12.4,0.075244,0.0348,12.4,0.087098,0.040023,12.4,0.098136,0.042425,12.4,0.11027,0.046765,12.4,0.12184,0.050234
,12.5,0.0048841,0.0022426,12.5,0.0073059,0.0032767,12.5,0.0122,0.0055739,12.5,0.024564,0.011183,12.5,0.037836,0.015759,12.5,0.049359,0.022902,12.5,0.06261,0.011509,12.5,0.075272,0.034851,12.5,0.08713,0.040073,12.5,0.098191,0.042315,12.5,0.11034,0.046799,12.5,0.12192,0.050193
,12.6,0.0048841,0.0022396,12.6,0.0073056,0.0032699,12.6,0.012201,0.0055823,12.6,0.024564,0.011184,12.6,0.037843,0.015749,12.6,0.049371,0.022896,12.6,0.062616,0.0115,12.6,0.075294,0.034829,12.6,0.087163,0.040029,12.6,0.098238,0.042322,12.6,0.1104,0.046792,12.6,0.12199,0.050211
,12.7,0.0048842,0.0022419,12.7,0.0073054,0.0032737,12.7,0.012201,0.005578,12.7,0.024564,0.01119,12.7,0.037849,0.015749,12.7,0.049381,0.022875,12.7,0.06263,0.011505,12.7,0.075313,0.034885,12.7,0.087184,0.039992,12.7,0.098285,0.042312,12.7,0.11045,0.046776,12.7,0.12205,0.050157
,12.8,0.0048842,0.0022405,12.8,0.0073048,0.0032695,12.8,0.0122,0.0055786,12.8,0.024563,0.011193,12.8,0.037856,0.015742,12.8,0.049389,0.022868,12.8,0.062646,0.011496,12.8,0.07533,0.034867,12.8,0.087213,0.040035,12.8,0.098326,0.042312,12.8,0.1105,0.046676,12.8,0.12212,0.0502
,12.9,0.0048839,0.0022429,12.9,0.0073044,0.0032732,12.9,0.012199,0.0055865,12.9,0.024562,0.01119,12.9,0.037861,0.015739,12.9,0.049398,0.022846,12.9,0.062654,0.011492,12.9,0.07535,0.034873,12.9,0.08723,0.040123,12.9,0.098359,0.042335,12.9,0.11054,0.046643,12.9,0.12217,0.050171
,13,0.004884,0.002243,13,0.0073035,0.0032763,13,0.012198,0.0055864,13,0.024561,0.011206,13,0.037865,0.015746,13,0.049405,0.022865,13,0.062663,0.011525,13,0.075364,0.03486,13,0.087252,0.04013,13,0.098395,0.042309,13,0.11058,0.046631,13,0.12223,0.050227
,13.1,0.0048838,0.0022458,13.1,0.0073025,0.0032744,13.1,0.012197,0.005588,13.1,0.024561,0.011201,13.1,0.03787,0.015735,13.1,0.049412,0.022855,13.1,0.062673,0.011518,13.1,0.075381,0.034832,13.1,0.087263,0.040058,13.1,0.098426,0.042346,13.1,0.11062,0.046675,13.1,0.12227,0.050267
,13.2,0.0048836,0.0022424,13.2,0.0073022,0.0032762,13.2,0.012196,0.0055901,13.2,0.02456,0.01122,13.2,0.037875,0.01572,13.2,0.04942,0.022866,13.2,0.062678,0.011527,13.2,0.075396,0.034809,13.2,0.087277,0.040082,13.2,0.098454,0.042367,13.2,0.11066,0.046785,13.2,0.12231,0.050265
,13.3,0.0048829,0.0022477,13.3,0.0073017,0.0032801,13.3,0.012195,0.0055977,13.3,0.024558,0.011226,13.3,0.037878,0.015737,13.3,0.049428,0.022861,13.3,0.062691,0.011516,13.3,0.075406,0.034843,13.3,0.087293,0.040001,13.3,0.09848,0.04237,13.3,0.11068,0.046725,13.3,0.12235,0.050221
,13.4,0.0048825,0.0022435,13.4,0.0073012,0.0032731,13.4,0.012194,0.0055911,13.4,0.024557,0.011222,13.4,0.037882,0.015737,13.4,0.049434,0.022863,13.4,0.062692,0.011498,13.4,0.075412,0.03484,13.4,0.087303,0.039981,13.4,0.098502,0.04236,13.4,0.11071,0.046724,13.4,0.12239,0.050306
,13.5,0.0048819,0.0022482,13.5,0.0073006,0.00328,13.5,0.012193,0.0055899,13.5,0.024554,0.011226,13.5,0.037885,0.015727,13.5,0.049439,0.022862,13.5,0.062698,0.011466,13.5,0.075421,0.03491,13.5,0.087314,0.039984,13.5,0.098523,0.042329,13.5,0.11074,0.046742,13.5,0.12242,0.050252
,13.6,0.0048815,0.0022463,13.6,0.0073012,0.003285,13.6,0.012192,0.0055791,13.6,0.024553,0.011221,13.6,0.037889,0.015731,13.6,0.049444,0.022872,13.6,0.0627,0.011518,13.6,0.075428,0.034916,13.6,0.087325,0.040017,13.6,0.098545,0.042316,13.6,0.11076,0.046755,13.6,0.12245,0.050263
,13.7,0.0048812,0.002246,13.7,0.0073006,0.0032809,13.7,0.012191,0.0055885,13.7,0.024551,0.011219,13.7,0.037893,0.015721,13.7,0.049447,0.022855,13.7,0.062707,0.011506,13.7,0.075434,0.034945,13.7,0.087337,0.039962,13.7,0.098567,0.042385,13.7,0.11079,0.046784,13.7,0.12248,0.05028
,13.8,0.0048809,0.0022445,13.8,0.0073003,0.0032855,13.8,0.01219,0.005585,13.8,0.024549,0.011229,13.8,0.037895,0.015733,13.8,0.049452,0.022844,13.8,0.062711,0.011509,13.8,0.075438,0.034976,13.8,0.087344,0.039906,13.8,0.098584,0.042363,13.8,0.11081,0.046774,13.8,0.1225,0.050264
,13.9,0.0048805,0.0022442,13.9,0.0072995,0.0032822,13.9,0.012189,0.0055923,13.9,0.024548,0.011212,13.9,0.037898,0.015741,13.9,0.049456,0.022825,13.9,0.062723,0.011516,13.9,0.075445,0.034999,13.9,0.087351,0.03996,13.9,0.0986,0.042309,13.9,0.11083,0.046873,13.9,0.12252,0.050299
,14,0.0048802,0.0022417,14,0.007299,0.0032806,14,0.012188,0.0055861,14,0.024547,0.011221,14,0.037901,0.015727,14,0.049461,0.022863,14,0.062728,0.011515,14,0.075453,0.034953,14,0.087359,0.039961,14,0.098617,0.042293,14,0.11085,0.046905,14,0.12254,0.050359
,14.1,0.0048798,0.0022434,14.1,0.0072988,0.0032835,14.1,0.012187,0.0055909,14.1,0.024544,0.011209,14.1,0.037905,0.015738,14.1,0.049465,0.022828,14.1,0.062725,0.011432,14.1,0.075454,0.03491,14.1,0.087368,0.039885,14.1,0.098636,0.042245,14.1,0.11087,0.046937,14.1,0.12256,0.050318
,14.2,0.0048795,0.0022403,14.2,0.0072987,0.0032808,14.2,0.012186,0.0055826,14.2,0.024542,0.011234,14.2,0.037908,0.015735,14.2,0.049469,0.02287,14.2,0.06273,0.011446,14.2,0.075458,0.034951,14.2,0.087369,0.039938,14.2,0.09865,0.042372,14.2,0.11088,0.046864,14.2,0.12258,0.050256
,14.3,0.004879,0.0022413,14.3,0.0072981,0.0032827,14.3,0.012185,0.005586,14.3,0.024542,0.011239,14.3,0.03791,0.015743,14.3,0.049473,0.02288,14.3,0.062734,0.011462,14.3,0.07546,0.034988,14.3,0.087378,0.039916,14.3,0.098666,0.042358,14.3,0.1109,0.046967,14.3,0.1226,0.050296
,14.4,0.0048783,0.0022419,14.4,0.0072973,0.0032826,14.4,0.012184,0.0055813,14.4,0.02454,0.011226,14.4,0.037912,0.015745,14.4,0.049476,0.022828,14.4,0.062735,0.011458,14.4,0.075466,0.034932,14.4,0.087381,0.03995,14.4,0.098679,0.042383,14.4,0.11091,0.04698,14.4,0.12262,0.050287
,14.5,0.0048774,0.0022435,14.5,0.0072961,0.0032808,14.5,0.012183,0.0055823,14.5,0.024539,0.011213,14.5,0.037915,0.015753,14.5,0.04948,0.022832,14.5,0.062741,0.011462,14.5,0.075466,0.034954,14.5,0.087389,0.039911,14.5,0.098692,0.042351,14.5,0.11093,0.046985,14.5,0.12264,0.050297
,14.6,0.0048766,0.0022433,14.6,0.0072951,0.0032798,14.6,0.012182,0.0055851,14.6,0.024536,0.011234,14.6,0.037917,0.015748,14.6,0.049483,0.02282,14.6,0.062748,0.011479,14.6,0.075477,0.034961,14.6,0.087401,0.039926,14.6,0.098703,0.042347,14.6,0.11094,0.046971,14.6,0.12265,0.050214
,14.7,0.0048762,0.0022434,14.7,0.0072945,0.0032818,14.7,0.012182,0.0055789,14.7,0.024534,0.011226,14.7,0.037919,0.015738,14.7,0.049488,0.022861,14.7,0.062746,0.011446,14.7,0.075481,0.034921,14.7,0.087406,0.039833,14.7,0.098715,0.042303,14.7,0.11096,0.047036,14.7,0.12267,0.050206
,14.8,0.0048756,0.0022394,14.8,0.0072935,0.0032795,14.8,0.012182,0.0055814,14.8,0.024533,0.011227,14.8,0.037921,0.015733,14.8,0.049492,0.022827,14.8,0.062753,0.01145,14.8,0.075485,0.034899,14.8,0.08741,0.039808,14.8,0.098723,0.042328,14.8,0.11097,0.046981,14.8,0.12268,0.050218
,14.9,0.0048752,0.0022401,14.9,0.0072933,0.0032817,14.9,0.012181,0.0055797,14.9,0.02453,0.011217,14.9,0.037921,0.015723,14.9,0.049492,0.022833,14.9,0.062755,0.011452,14.9,0.075483,0.03493,14.9,0.087413,0.039866,14.9,0.098731,0.042299,14.9,0.11098,0.046989,14.9,0.1227,0.050289
,15,0.0048754,0.0022416,15,0.0072924,0.0032778,15,0.01218,0.0055722,15,0.024528,0.011215,15,0.037923,0.015752,15,0.049496,0.022837,15,0.062756,0.011471,15,0.07549,0.034956,15,0.087418,0.039866,15,0.098743,0.042309,15,0.11099,0.047022,15,0.12271,0.050264
,15.1,0.0048753,0.0022387,15.1,0.0072917,0.003278,15.1,0.012179,0.0055749,15.1,0.024525,0.01121,15.1,0.037923,0.015722,15.1,0.0495,0.022838,15.1,0.062754,0.011473,15.1,0.075488,0.034987,15.1,0.087415,0.03987,15.1,0.098752,0.042352,15.1,0.111,0.047026,15.1,0.12272,0.050225
